id;offre_formation;date_debut_offre;date_fin_offre;date_depot;resultat
1;ELEVAGE;2023-03-28;2023-03-28;2023-03-28;ACCORD
2;MINE_CARRIERES;2023-03-28;2023-03-28;2023-03-27;SOUMIS
3;STRUCTURE_METALLIQUE;2023-03-27;2023-03-28;2023-03-28;SOUMIS
4;INSDUSTRIE_CULTURELLE_ET_CREATIVE;2023-03-28;2023-03-27;2023-03-28;SOUMIS
5;MECANIQUE;2023-03-27;2023-03-27;2023-03-28;SOUMIS
6;BEAUTE_ESTHETIQUE;2023-03-28;2023-03-28;2023-03-28;REJET
7;AGRICULTURE;2023-03-27;2023-03-28;2023-03-28;REJET
8;ELECTROTECHNIQUE_ELECTRIQUE_ENERGETIQUE;2023-03-28;2023-03-28;2023-03-28;SOUMIS
9;ELECTROTECHNIQUE_ELECTRIQUE_ENERGETIQUE;2023-03-28;2023-03-27;2023-03-27;REJET
10;STRUCTURE_PLASTIQUE;2023-03-27;2023-03-28;2023-03-27;ACCORD
