id;offre_formation;date_debut_offre;date_fin_offre;date_depot;resultat
1;MECANIQUE;2023-05-10;2023-05-09;2023-05-10;ACCORD
2;BEAUTE_ESTHETIQUE;2023-05-10;2023-05-09;2023-05-10;REJET
3;ELEVAGE;2023-05-09;2023-05-10;2023-05-10;SOUMIS
4;DROIT;2023-05-09;2023-05-10;2023-05-10;SOUMIS
5;BATIMAT_TRAVAUX_PUBLIQUES;2023-05-10;2023-05-09;2023-05-10;REJET
6;HYDRAULIQUE;2023-05-10;2023-05-10;2023-05-10;SOUMIS
7;HABILLEMENT;2023-05-10;2023-05-10;2023-05-10;SOUMIS
8;ELECTROTECHNIQUE_ELECTRIQUE_ENERGETIQUE;2023-05-10;2023-05-10;2023-05-10;REJET
9;AGRI_ELEVAGE;2023-05-10;2023-05-09;2023-05-09;ACCORD
10;MECANIQUE;2023-05-10;2023-05-09;2023-05-10;REJET
