id;offre_formation;date_debut_offre;date_fin_offre;date_depot;resultat
1;DEVELOPPEMENT_TERRITORIAL;2023-04-12;2023-04-13;2023-04-12;SOUMIS
2;SPORT;2023-04-13;2023-04-12;2023-04-13;REJET
3;ECONOMIE_GESTION_COMMERCE_LOGISTIQUE;2023-04-12;2023-04-12;2023-04-13;SOUMIS
4;AGRICULTURE;2023-04-13;2023-04-13;2023-04-12;ACCORD
5;PECHE;2023-04-13;2023-04-12;2023-04-12;REJET
6;DROIT;2023-04-13;2023-04-12;2023-04-13;REJET
7;STRUCTURE_METALLIQUE;2023-04-12;2023-04-13;2023-04-13;SOUMIS
8;HYDRAULIQUE;2023-04-13;2023-04-12;2023-04-12;REJET
9;PECHE;2023-04-12;2023-04-13;2023-04-13;ACCORD
10;ELECTROTECHNIQUE_ELECTRIQUE_ENERGETIQUE;2023-04-12;2023-04-12;2023-04-12;REJET
