id;offre_formation;date_debut_offre;date_fin_offre;date_depot;resultat
1;BEAUTE_ESTHETIQUE;2023-04-13;2023-04-13;2023-04-12;SOUMIS
2;MINE_CARRIERES;2023-04-13;2023-04-13;2023-04-12;SOUMIS
3;DROIT;2023-04-13;2023-04-13;2023-04-12;REJET
4;HYDRAULIQUE;2023-04-13;2023-04-12;2023-04-13;SOUMIS
5;ECONOMIE_GESTION_COMMERCE_LOGISTIQUE;2023-04-12;2023-04-13;2023-04-12;ACCORD
6;ECONOMIE_GESTION_COMMERCE_LOGISTIQUE;2023-04-12;2023-04-13;2023-04-13;REJET
7;STRUCTURE_METALLIQUE;2023-04-13;2023-04-13;2023-04-13;SOUMIS
8;RESTAURATION_ET_HOTELLORIE;2023-04-12;2023-04-13;2023-04-13;SOUMIS
9;PECHE;2023-04-12;2023-04-13;2023-04-13;SOUMIS
10;INSDUSTRIE_CULTURELLE_ET_CREATIVE;2023-04-12;2023-04-13;2023-04-13;REJET
