id;offre_formation;date_debut_offre;date_fin_offre;date_depot;resultat
1;SPORT;2023-05-09;2023-05-10;2023-05-10;REJET
2;MECANIQUE;2023-05-10;2023-05-10;2023-05-10;SOUMIS
3;ELEVAGE;2023-05-10;2023-05-10;2023-05-10;REJET
4;ECONOMIE_GESTION_COMMERCE_LOGISTIQUE;2023-05-10;2023-05-09;2023-05-10;ACCORD
5;MECANIQUE;2023-05-09;2023-05-10;2023-05-09;ACCORD
6;HYDRAULIQUE;2023-05-09;2023-05-10;2023-05-10;REJET
7;INFORMATIQUE_ET_NUMERIQUE;2023-05-10;2023-05-10;2023-05-09;SOUMIS
8;RESTAURATION_ET_HOTELLORIE;2023-05-10;2023-05-10;2023-05-10;SOUMIS
9;ELEVAGE;2023-05-10;2023-05-09;2023-05-10;ACCORD
10;ECONOMIE_GESTION_COMMERCE_LOGISTIQUE;2023-05-09;2023-05-09;2023-05-09;SOUMIS
