id;offre_formation;date_debut_offre;date_fin_offre;date_depot;resultat
1;DEVELOPPEMENT_TERRITORIAL;2023-04-13;2023-04-13;2023-04-12;ACCORD
2;AUTRES;2023-04-13;2023-04-13;2023-04-13;ACCORD
3;HYDRAULIQUE;2023-04-13;2023-04-12;2023-04-13;REJET
4;MECANIQUE;2023-04-13;2023-04-13;2023-04-13;SOUMIS
5;AGRICULTURE;2023-04-13;2023-04-13;2023-04-12;SOUMIS
6;MECANIQUE;2023-04-12;2023-04-12;2023-04-13;SOUMIS
7;BATIMAT_TRAVAUX_PUBLIQUES;2023-04-13;2023-04-12;2023-04-12;REJET
8;ELECTROTECHNIQUE_ELECTRIQUE_ENERGETIQUE;2023-04-13;2023-04-12;2023-04-12;ACCORD
9;TOURISME;2023-04-13;2023-04-12;2023-04-12;REJET
10;ECONOMIE_GESTION_COMMERCE_LOGISTIQUE;2023-04-12;2023-04-12;2023-04-12;REJET
