id;intitule;domaine;niveau;mention;annee_obtention;etablissement;document;document_content_type
1;Centre Pop;DEVELOPPEMENT_TERRITORIAL;CAP;BIEN;nesciunt;Pantalon;../fake-data/blob/hipster.png;image/png
2;air;DEVELOPPEMENT_TERRITORIAL;MASTER;ASSEZ_BIEN;Avenue broum;Analyste Santé Films;../fake-data/blob/hipster.png;image/png
3;vlan;TOURISME;CAP3;BIEN;diététiste soit Clavier;Recyclé;../fake-data/blob/hipster.png;image/png
4;Ouest gratis;ARTISANAT;CHEFEQUIPE;TRES_BIEN;aïe Nord retrait;Reggae Vélomobile Frites;../fake-data/blob/hipster.png;image/png
5;Account influencer facture;ELECTROTECHNIQUE_ELECTRIQUE_ENERGETIQUE;BEP2;BIEN;glouglou;Homme;../fake-data/blob/hipster.png;image/png
6;recusandae assumenda;ELECTROTECHNIQUE_ELECTRIQUE_ENERGETIQUE;BTS1;ASSEZ_BIEN;cocorico;Cruiser Hybride Executif;../fake-data/blob/hipster.png;image/png
7;Frites Diesel Femme;SANTE_BIOLOGIE_CHIMIE;BEP;ASSEZ_BIEN;Plastique;Limousin Électrique déposer;../fake-data/blob/hipster.png;image/png
8;Savon;AGRICULTURE;BT;TRES_BIEN;Grèce Biporteur dynamique;cuivre de de;../fake-data/blob/hipster.png;image/png
9;que mairie Génial;BATIMAT_TRAVAUX_PUBLIQUES;DOCTORAT;ASSEZ_BIEN;Variété Chaise;séculaire;../fake-data/blob/hipster.png;image/png
10;Femme Sud;SANTE_BIOLOGIE_CHIMIE;CAP2;ASSEZ_BIEN;polyvalentes Est Nord;dépôt;../fake-data/blob/hipster.png;image/png
