id;date_debut;date_fin;nom_entreprise;poste_occupe;mission
1;2023-03-28;2023-03-27;près;Citadines manipuler;../fake-data/blob/hipster.txt
2;2023-03-28;2023-03-27;japonais Augustins;vite;../fake-data/blob/hipster.txt
3;2023-03-28;2023-03-27;merci crédit solitaire;que contre Sans;../fake-data/blob/hipster.txt
4;2023-03-27;2023-03-27;Rap Variété;rubis;../fake-data/blob/hipster.txt
5;2023-03-27;2023-03-27;Jeux Nord;Lofi;../fake-data/blob/hipster.txt
6;2023-03-27;2023-03-28;Lorraine donné de;tâter Account;../fake-data/blob/hipster.txt
7;2023-03-28;2023-03-27;chercher Ordinateurs Poulet;Fantastique;../fake-data/blob/hipster.txt
8;2023-03-27;2023-03-28;vérité;Petit en;../fake-data/blob/hipster.txt
9;2023-03-27;2023-03-28;atchoum oh Savon;dépôt;../fake-data/blob/hipster.txt
10;2023-03-28;2023-03-28;Voiture Essence de;Developpeur;../fake-data/blob/hipster.txt
