id;nom_formation;image_formation;image_formation_content_type;type_formation;duree;admission;diplome_requis;fiche_formation;fiche_formation_content_type
1;facture malade;../fake-data/blob/hipster.png;image/png;CONTINUE;incalculable Électrique debitis;CONCOURS;DNBA;../fake-data/blob/hipster.png;image/png
2;Congelé;../fake-data/blob/hipster.png;image/png;CONTINUE;Funk Granit Béton;CONCOURS;BT;../fake-data/blob/hipster.png;image/png
3;Femme compacts Account;../fake-data/blob/hipster.png;image/png;INITIALE;glouglou;PC;BT;../fake-data/blob/hipster.png;image/png
4;reiciendis hollandais;../fake-data/blob/hipster.png;image/png;INITIALE;Béton;CONCOURS;BEP;../fake-data/blob/hipster.png;image/png
5;main toutefois;../fake-data/blob/hipster.png;image/png;CONTINUE;avocat;PC;BT;../fake-data/blob/hipster.png;image/png
6;Électrique de;../fake-data/blob/hipster.png;image/png;INITIALE;bleu Chapeau;PC;BFEM;../fake-data/blob/hipster.png;image/png
7;retrait Fantastique;../fake-data/blob/hipster.png;image/png;INITIALE;à Tanzanie;PC;ATTESTATION;../fake-data/blob/hipster.png;image/png
8;argent Bois;../fake-data/blob/hipster.png;image/png;CONTINUE;en smalt;PC;CAP;../fake-data/blob/hipster.png;image/png
9;tandis Maison;../fake-data/blob/hipster.png;image/png;CONTINUE;Gocycle;PC;CAP;../fake-data/blob/hipster.png;image/png
10;Technicien gens Dinar;../fake-data/blob/hipster.png;image/png;INITIALE;Rustique Granit Bourgogne;PC;BEP;../fake-data/blob/hipster.png;image/png
