id;nom_formation_c;duree;admission;diplome_requis;niveau_etude;filiere;serie;cfp;lycee;fiche_formation;fiche_formation_content_type;libelle_pc;montant_prise_en_charge;cout_formation;detail_pc;nom_diplome;autre_diplome;nom_debouche
1;Agent iterate Account;schemas Rupee bi-directional;CONCOURS;CAP;Equivalent_BAC;AUTRES;S3;CFP_SOKONE;LTIM_KEDOUGOU;../fake-data/blob/hipster.png;image/png;relationships Plastic JSON;16370;89977;../fake-data/blob/hipster.txt;CAP;c;override
2;c Bolivie;enhance a;PC;ATTESTATION;Seconde;TOURISME;S4;CFP_BARGNY;LTAEB_BIGNONA;../fake-data/blob/hipster.png;image/png;deposit Frozen ROI;82861;3139;../fake-data/blob/hipster.txt;BT;directional Practical payment;SAS
3;interface Languedoc-Roussillon;Zloty user-centric Investment;PC;BAC;BTS1;BATIMAT_TRAVAUX_PUBLIQUES;S3;CEP_THIES;LTAP_SAINT_LOUIS;../fake-data/blob/hipster.png;image/png;c;7552;51263;../fake-data/blob/hipster.txt;BT;compressing Steel;brand
4;Computers Nauru;indexing;CONCOURS;BTS;Titre_professionnel;SANTE_BIOLOGIE_CHIMIE;STIDD_M;CFP_OUAKAM;LTAB_DIOURBEL;../fake-data/blob/hipster.png;image/png;middleware Computer du;54892;55357;../fake-data/blob/hipster.txt;TitreProf;e-business intranet c;Liechtenstein
5;b applications Bedfordshire;back-end;PC;Autres;CQP;DROIT;STIDD_M;CFP_NIORO;LTCAN_KAOLACK;../fake-data/blob/hipster.png;image/png;la one-to-one Ball;38526;54114;../fake-data/blob/hipster.txt;TS;panel SCSI success;Agent invoice
6;Kyat blue Table;1080p Buckinghamshire Account;CONCOURS;DNBA;BTS1;AGROALIMENTAIRE;S5;CFP_SAINT_LOUIS;LEFP_KOLDA;../fake-data/blob/hipster.png;image/png;Provence-Alpes-Côte strategic best-of-breed;13126;64057;../fake-data/blob/hipster.txt;METP;productize Nord-Pas-de-Calais;ubiquitous
7;Presbourg Corse application;capacity Reverse-engineered online;PC;BAC;Doctorat;ARTISANAT;STEG;CFP_RUFISQUE;LT_FATICK;../fake-data/blob/hipster.png;image/png;Languedoc-Roussillon deposit 1080p;17379;98491;../fake-data/blob/hipster.txt;CAP;generating;one-to-one
8;Estonie;RAM Manager;PC;LICENCE;Terminal;ARTISANAT;S4;CFPC_DELAFOSSE;LTCD_DAKAR;../fake-data/blob/hipster.png;image/png;Rhône-Alpes moratorium;25340;33956;../fake-data/blob/hipster.txt;CQP;Clothing Nord-Pas-de-Calais;Sausages Licensed
9;Midi-Pyrénées Exclusive web-readiness;Rosiers;CONCOURS;ATTESTATION;BEP2;HYDRAULIQUE;F6;CRFP_ZIGUINCHOR;LTID_DAKAR;../fake-data/blob/hipster.png;image/png;Borders;57176;78675;../fake-data/blob/hipster.txt;TS;collaborative;line distributed
10;ivory;de 1080p;PC;BFEM;Doctorat;BEAUTE_ESTHETIQUE;STIDD_E;CFP_MEDINA_YORO_FOULAH;LTID_DAKAR;../fake-data/blob/hipster.png;image/png;Bedfordshire;6533;95152;../fake-data/blob/hipster.txt;BTS;Rubber Generic Mouse;HTTP
