id;nom_formation_i;duree;admission;diplome_requis;niveau_etude;fiche_formation;fiche_formation_content_type;filiere;serie;cfp;lycee;nom_concours;date_ouverture;date_cloture;date_concours;nom_diplome;nom_debouche
1;svelte Oriental;Femme concernant;PC;LICENCE;CPS;../fake-data/blob/hipster.png;image/png;RESTAURATION_ET_HOTELLORIE;S3;CFP_SEBIKHOTANE;LEFP_KOLDA;mesure;2023-03-27;2023-03-27;2023-03-27;TS;Account Fromage
2;Salade couché;Artisanal;CONCOURS;BT;EQUIVALENT_BFEM;../fake-data/blob/hipster.png;image/png;AGRI_ELEVAGE;S4;CFP_SAINT_LOUIS;LTID_DAKAR;Électrique sinople;2023-03-28;2023-03-27;2023-03-28;METP;Frites Account Molière
3;Guarani chauffer deserunt;World quisquam cause;CONCOURS;DNBA;EQUIVALENT_BAC;../fake-data/blob/hipster.png;image/png;DROIT;F6;CFP_DIONEWAR;LTPFXN_THIES;Rosalie;2023-03-28;2023-03-27;2023-03-27;CPS;retrait Frites
4;Hybride;relever comment;PC;DNBA;SECONDE;../fake-data/blob/hipster.png;image/png;AUTRES;STEG;CFP_DAKAR;LTSLL_DAKAR;Pizza Royale sombre;2023-03-28;2023-03-28;2023-03-27;BTI;Coordinateur
5;Chemise voluptatem Classique;Roupie;PC;DUR;LICENCE1;../fake-data/blob/hipster.png;image/png;MENUISERIE_BOIS;S5;CFP_DIONEWAR;LETFP_TAMBA;Petit;2023-03-27;2023-03-27;2023-03-28;BTS;que amuser
6;après;Homme retrait;PC;BFEM;CQP;../fake-data/blob/hipster.png;image/png;SPORT;STIDD_E;CFP_THIAROYE;LTCAN_KAOLACK;préoccuper;2023-03-28;2023-03-27;2023-03-27;METP;puisque puisque
7;sus;Account;PC;BTS;BT1;../fake-data/blob/hipster.png;image/png;ENVIRONNEMENT;S5;CFP_DIAKHAO;LTIM_KEDOUGOU;Berlines Prêt Femme;2023-03-28;2023-03-27;2023-03-28;BEP;Iran prasin
8;adhérer prout;bleu;CONCOURS;BTS;EQUIVALENT_BAC;../fake-data/blob/hipster.png;image/png;STRUCTURE_METALLIQUE;F6;CFP_SARE_YOBA;LTID_DAKAR;retrait Femme;2023-03-28;2023-03-27;2023-03-27;TS;police Zloty
9;Clavier par;Directeur qatari Mexique;PC;BAC;BT;../fake-data/blob/hipster.png;image/png;MECANIQUE;S4;CFP_NIAGA;LTPFXN_THIES;Oriental Est;2023-03-28;2023-03-27;2023-03-27;CPS;Diesel SUV électrique
10;Account Saucisses Chapeau;hormis Pop;CONCOURS;ATTESTATION;CHEF_DE_CHANTIER;../fake-data/blob/hipster.png;image/png;MECANIQUE;STIDD_M;CFP_KHOMBOLE;LTIM_KEDOUGOU;alors;2023-03-28;2023-03-28;2023-03-27;BEP;Vélocipèdraisiavaporianna côté
