id;image_service;image_service_content_type;nom_service;chef_service;description
1;../fake-data/blob/hipster.png;image/png;orchestration tan;AI Fish tangible;../fake-data/blob/hipster.txt
2;../fake-data/blob/hipster.png;image/png;Movies invoice;zero primary Credit;../fake-data/blob/hipster.txt
3;../fake-data/blob/hipster.png;image/png;deposit;Borders olive Shirt;../fake-data/blob/hipster.txt
4;../fake-data/blob/hipster.png;image/png;digital;cultivate Executif Rustic;../fake-data/blob/hipster.txt
5;../fake-data/blob/hipster.png;image/png;Concrete;Frozen b Licensed;../fake-data/blob/hipster.txt
6;../fake-data/blob/hipster.png;image/png;Fully-configurable eco-centric Agent;back a multi-tasking;../fake-data/blob/hipster.txt
7;../fake-data/blob/hipster.png;image/png;monitor value-added Peso;Malawi Metal b;../fake-data/blob/hipster.txt
8;../fake-data/blob/hipster.png;image/png;Borders;invoice RSS;../fake-data/blob/hipster.txt
9;../fake-data/blob/hipster.png;image/png;de drive;Basse-Normandie compelling;../fake-data/blob/hipster.txt
10;../fake-data/blob/hipster.png;image/png;deliverables;hack;../fake-data/blob/hipster.txt
